"","text","favoriteCount","replyToSN","id","created","retweetCount"
"1","Por primera vez en toda la especialización alguien me chuleó un reporte.

Lo que me conmueve más es que sí lo leyó.",1,NA,"1402120097800593413",2021-06-07 23:27:36,0
"2","@natszendro @Reactor105 Al menos tuvimos una victoria después de estas elecciones <U+0001F97A><U+0001F97A><U+0001F97A>",0,"natszendro","1401946684607844352",2021-06-07 11:58:31,0
"3","Oigan, yo me fui temprano de la fiesta, ¿Quién rompió el lavabo*? Ah sí, ya me acordé.

*Dejó que el PAN ganara tantas alcaldías",3,NA,"1401900756320624645",2021-06-07 08:56:01,0
"4","Feliz día de la simulación. ¿Qué les trajo el hada del INE además de ansiedad e incertidumbre?",0,NA,"1401535898882351107",2021-06-06 08:46:12,0
"5","@elizabeth_rial https://t.co/ephC538fSC",1,"elizabeth_rial","1401322611615973378",2021-06-05 18:38:40,0
"6","Ya quiero dejar de procrastinar, señor Stark.",2,NA,"1401203419373871109",2021-06-05 10:45:02,0
"7","Sísoy. https://t.co/LCqzkBGIxd",3,NA,"1401177442547556357",2021-06-05 09:01:49,0
"8","@fotoenpared Gracias!!! :D",1,"fotoenpared","1400973784291713024",2021-06-04 19:32:33,0
"9","@frasalazar Educación universitaria <U+261D><U+FE0F>
#UNAMnopaga",1,"frasalazar","1400900308692180998",2021-06-04 14:40:35,0
"10","Uffas, qué perro rolón/cover ese de Evanescence.<U+0001F494><U+0001F494><U+0001F494>
@luisalaouija",2,"bhherto95","1400897840612794378",2021-06-04 14:30:47,1
"11","Ora sí, a tristear a gusto @luisalaouija #SinYolanda.

¿Qué tal Lay Your Gun Down de In This Moment o Break in de H… https://t.co/ef0umf2Lq4",3,NA,"1400896407037431809",2021-06-04 14:25:05,2
"12","Import pandas as dplyr https://t.co/6nZXsg3FgK https://t.co/jHtjXC6gbw",0,NA,"1400846403354693640",2021-06-04 11:06:23,0
"13","Ya pasaron dos semanas de la vacuna, Ya se pueden armar los besos de tres entre ayudaaaaquela...",2,NA,"1400844467293364227",2021-06-04 10:58:42,0
"14","@Newton_loft Jajajaja ¿apoco compila si no invocas esos dos? ¿No es como el \begin{document} de LaTex?",2,"Newton_loft","1400842027009445891",2021-06-04 10:49:00,0
"15","Import pandas as pandas.

*Suena una risa malvada de fondo.",3,NA,"1400837117425688580",2021-06-04 10:29:29,0
"16","@PatriciaGaSo Jajaja hay que hacer nuestros gifs de topología xd",1,"PatriciaGaSo","1400671039743578119",2021-06-03 23:29:33,0
"17","Voy a etiquetar a @PatriciaGaSo en este meme.<U+0001F440> https://t.co/HplQXcZFZf",1,NA,"1400642640077590528",2021-06-03 21:36:42,1
"18","¿Quién para nada más tirarnos la onda por tuiter o instagram? https://t.co/JHNN6PcbiB",0,NA,"1400632425764593664",2021-06-03 20:56:07,0
"19","Cuando pones que le sabes a Excel en el CV. https://t.co/YgGIG0DiKs",0,NA,"1400587380659195908",2021-06-03 17:57:07,0
"20","Situación sentimental:
Si yo fuera más guapa y un poco más lista...<U+0001F3A4><U+0001F494>",1,NA,"1400586943260397575",2021-06-03 17:55:23,1
"21","@comunmentecomun Por eeeeso joven jejeje
Cualquier conexión es bonita, aunque parezca banal \o/",2,"comunmentecomun","1400451012398182403",2021-06-03 08:55:15,0
"22","Que mis alumnos no vean este tuit <U+0001F440>",0,"bhherto95","1400274359399424001",2021-06-02 21:13:17,0
"23","Dejar tarea está bien, pero pedir que la entreguemos ya es avaricia.",3,NA,"1400268444688396289",2021-06-02 20:49:47,1
"24","@tacosdedatos Vale! Para el fin de semana ya les envío algo jejeje
¿No hay problema si es en R? <U+0001F440>",2,"tacosdedatos","1400203288948187143",2021-06-02 16:30:53,0
"25","@tacosdedatos ¡Hola! ¿Aún hay chance de mandar algo? Jejeje<U+0001F440>",0,"tacosdedatos","1400173737404739592",2021-06-02 14:33:27,0
"26","Dividir y multiplicar está bien. La topología algebraica ya es avaricia.
<U+0001F60C><U+0001F60C><U+0001F60C>",8,NA,"1400172324708618242",2021-06-02 14:27:50,1
"27","Un libro de matemáticas: el lector podría estar interesado en probar, como ejercicio, el siguiente resultado...
Yo:… https://t.co/FnmvFnQzbY",8,NA,"1399958108332507140",2021-06-02 00:16:37,3
"28","@comunmentecomun Noooo, no hay nada de ridículo en sentir conexiones con las personas que nos fueron importantes.

\o/ :)",1,"comunmentecomun","1399936513958363139",2021-06-01 22:50:49,0
"29","Qué alegría me da escucharte de vuelta en tu horario, @natszendro #iluminat.
Espero que todos los problemas que has… https://t.co/G4vlynLzxi",4,NA,"1399925950540914695",2021-06-01 22:08:50,1
"30","Aún estoy a tiempo de que digan ""pudo ser un gran matemático"" sin que suene (tan) triste. https://t.co/KD0x81LwqL",2,NA,"1399916135613612033",2021-06-01 21:29:50,0
"31","@esteusermurio Lo voy a escuchar mientras hago mi tarea, para motivarme a trabajar <U+0001F44C>",1,"esteusernomurio","1399860653935017991",2021-06-01 17:49:22,0
"32","@natszendro @Reactor105 ¡¡Felicidades!!
Qué gran trabajo has hecho para sobrevivir a la pandemia <U+0001F389><U+0001F44F>",0,"natszendro","1399735929552711683",2021-06-01 09:33:46,0
"33","Respuestas a historias de instagram que pudieron ser unos becerros en la Cineteca.",3,NA,"1399571316865384449",2021-05-31 22:39:39,0
"34","Sí soy... https://t.co/0AvnmfdMU5 https://t.co/sDwf118JkA",0,NA,"1399526280262045702",2021-05-31 19:40:41,0
"35","Ahora sí que como diría el Nodal:

AAADIOS AMOOOOR, ME VOOOOY, DE TIIIII...",1,"bhherto95","1399471944492326913",2021-05-31 16:04:47,0
"36","@Newton_loft https://t.co/PtZSkxJbVs",0,"Newton_loft","1399471647518830592",2021-05-31 16:03:36,0
"37","@mercvrytoy_ Ese es el plan (ciencia de datos) xd
En cuanto termine la especialización de Coursera xddd que ya me cansó también &gt;:p 

Jajaja",1,"mercvrytoy_","1399471311483772928",2021-05-31 16:02:16,0
"38","Yo ya me voy de las matemáticas. Ay se las encargo, apagan la luz al salir.",7,NA,"1399469424088846343",2021-05-31 15:54:46,0
"39","Cuando despertó, el Cruz Azul todavía era campeón.",1,NA,"1399349477392146434",2021-05-31 07:58:08,1
"40","Cuando vi que Acevedo fue al tiro de esquina. https://t.co/d00vC1vaiN",4,NA,"1399215653685497856",2021-05-30 23:06:22,0
"41","El Santos en este momento porque se le acaba de pasar la maldición. https://t.co/lPA5vsjdlg",2,NA,"1399214517821665281",2021-05-30 23:01:51,0
"42","Con un poco de fé, el orden natural de las cosas empezará a recuperar su cause. https://t.co/FQZKGugMJW",1,NA,"1399208627106365440",2021-05-30 22:38:27,0
"43","Si se siente un poquito raro, la verdad.

Llega un momento en la que la broma y la cábula se vuelve real y como tod… https://t.co/v6oxvF3Y9i",0,NA,"1399207735825141764",2021-05-30 22:34:54,0
"44","ES REAL: banda, estaba viendo la página de la estación espacial internacional y esta imagen es en vivo.

<U+0001F631><U+0001F631><U+0001F631> https://t.co/GgnbkDXpV5",6,NA,"1399205414152163328",2021-05-30 22:25:41,0
"45","@DiagramaDeVen NO EMPIECES!!",1,"DiagramaDeVen","1399188950355431430",2021-05-30 21:20:16,0
"46","Con las de Nodal, Bad Bunny y Cazzu. https://t.co/owVpVSFoKB",1,NA,"1399116701954891784",2021-05-30 16:33:10,0
"47","Todos en este momento... Excepto La Lagunsa, probablemente. https://t.co/em3Yg2to3F",1,NA,"1399111613735649281",2021-05-30 16:12:57,0
"48","Ya sueltame amor romántico, me estás lastimando mi bracito...",9,NA,"1398885437364707329",2021-05-30 01:14:12,3
"49","Estoy más feliz en tuiter desde que @elizabeth_rial regresó, porque veo seguido su carita preciosa en mis notificaciones<U+2764><U+FE0F><U+2728>",4,NA,"1398884244982800384",2021-05-30 01:09:28,1
"50","@PatriciaGaSo Jajajajajajaja

Ay, pero estamos de acuerdo que la mejor rola es amarillo ¿No?<U+0001F440>",1,"PatriciaGaSo","1398882879300591622",2021-05-30 01:04:03,0
"51","@PatriciaGaSo Se ve bien wonito tú cabello :o jajaja :)",1,"PatriciaGaSo","1398876598389121026",2021-05-30 00:39:05,0
"52","Ando en un loop bien random entre una rola bien emo de INSITE, una rola bien dolida de Nodal y ...And Justice For A… https://t.co/zrCz0duv0O",2,NA,"1398871031524245506",2021-05-30 00:16:58,0
"53","@mercvrytoy_ Jajaja pues según yo sabía, hay que dormir mínimo 7.
Pero pues casi nunca lo hago xd",0,"mercvrytoy_","1398726371296387074",2021-05-29 14:42:08,0
"54","Yo: no me gusta escuchar el fútbol por la radio porque no veo lo que está pasando.
Yo cuando estoy viendo la fútbol… https://t.co/XHi5k3p4WF",1,NA,"1398716659679043586",2021-05-29 14:03:33,0
"55","Señora, se le va a descomponer su celular por andarlo pegando a los imanes que trae en el brazo.
<U+0001F440><U+0001F440> https://t.co/7KmJ6BIlk7",2,NA,"1398656740783280131",2021-05-29 10:05:27,0
"56","Anoche estaba tan cansado que soñé que dormía 16 horas de corrido :p

Lo feo en realidad solo dormí 6.",1,NA,"1398633820199559169",2021-05-29 08:34:22,0
"57","@PatriciaGaSo Pa' qué te digo que no si sí?
Más o menos...<U+0001F440>",1,"PatriciaGaSo","1398491776579629059",2021-05-28 23:09:56,0
"58","@mercvrytoy_ Y además de tiempo completo <U+0001F921>",0,"mercvrytoy_","1398481982867263488",2021-05-28 22:31:01,0
"59","Ya le deberían hacer como decía José José con las vacunas, 40 y 20.",2,NA,"1398472952899936266",2021-05-28 21:55:08,0
"60","@PatriciaGaSo Siii, voy a descansar un ratito de la academia.

Muchas gracias :333",0,"PatriciaGaSo","1398470668581281794",2021-05-28 21:46:04,0
"61","A <U+0001F643>
LA <U+0001F643>
MADRE <U+0001F643>
<U+0001F921><U+0001F921><U+0001F921><U+0001F921><U+0001F921> https://t.co/5kRcz2uBv9",5,NA,"1398466524860583940",2021-05-28 21:29:36,0
"62","Tal vez hace falta que hago se rompa en el cosmos para que las cosas mejoren.
<U+0001F914> https://t.co/b7T2ohLpSW",2,NA,"1398448927192518656",2021-05-28 20:19:40,0
"63","@PatriciaGaSo Uuuuy, jalo a unas cawamitas en algún momento de la vida<U+0001F440>

Al doctorado no sé jejeje, no por el momento.",1,"PatriciaGaSo","1398403819831234562",2021-05-28 17:20:26,0
"64","¡¡¡Ya se va a armar!!! @natszendro y @luisalaouija son de mis dúos favoritos en la existencia. #ViernesDeClasicos… https://t.co/KoqWrLURQZ",0,NA,"1398354509114621955",2021-05-28 14:04:29,0
"65","@Wachimuchi No puedo tomar alcohol jajaja :(

Pero ahorita busco a quién romperle el lavabo.",1,"Wachimuchi","1398351601778130945",2021-05-28 13:52:56,0
